"Step","3i_350M_DeepSup - Val/loss","3i_350M_DeepSup - Val/loss__MIN","3i_350M_DeepSup - Val/loss__MAX","base_350m_fixed - Val/loss","base_350m_fixed - Val/loss__MIN","base_350m_fixed - Val/loss__MAX"
"0","10.754023551940918","10.754023551940918","10.754023551940918","10.657493591308594","10.657493591308594","10.657493591308594"
"1500","3.1162426471710205","3.1162426471710205","3.1162426471710205","2.8559188842773438","2.8559188842773438","2.8559188842773438"
"3000","2.7562952041625977","2.7562952041625977","2.7562952041625977","2.6429219245910645","2.6429219245910645","2.6429219245910645"
"4500","2.6087987422943115","2.6087987422943115","2.6087987422943115","2.562211275100708","2.562211275100708","2.562211275100708"
"6000","2.5269408226013184","2.5269408226013184","2.5269408226013184","2.515249013900757","2.515249013900757","2.515249013900757"
"7500","2.469515085220337","2.469515085220337","2.469515085220337","2.4813449382781982","2.4813449382781982","2.4813449382781982"
"9000","2.4304113388061523","2.4304113388061523","2.4304113388061523","2.459294557571411","2.459294557571411","2.459294557571411"
"10500","2.4046270847320557","2.4046270847320557","2.4046270847320557","2.439598321914673","2.439598321914673","2.439598321914673"
"12000","2.3830630779266357","2.3830630779266357","2.3830630779266357","2.4207983016967773","2.4207983016967773","2.4207983016967773"
"13500","2.361644744873047","2.361644744873047","2.361644744873047","2.4033403396606445","2.4033403396606445","2.4033403396606445"
"15000","2.3454577922821045","2.3454577922821045","2.3454577922821045","2.395026206970215","2.395026206970215","2.395026206970215"
"16500","2.33203387260437","2.33203387260437","2.33203387260437","2.380540132522583","2.380540132522583","2.380540132522583"
"18000","2.3227460384368896","2.3227460384368896","2.3227460384368896","2.3727762699127197","2.3727762699127197","2.3727762699127197"
"19500","2.3069279193878174","2.3069279193878174","2.3069279193878174","2.3641061782836914","2.3641061782836914","2.3641061782836914"
"21000","2.297795057296753","2.297795057296753","2.297795057296753","2.3525032997131348","2.3525032997131348","2.3525032997131348"
"22500","2.2908034324645996","2.2908034324645996","2.2908034324645996","2.3340437412261963","2.3340437412261963","2.3340437412261963"
"24000","2.281576633453369","2.281576633453369","2.281576633453369","2.337264060974121","2.337264060974121","2.337264060974121"
"25500","2.2746422290802","2.2746422290802","2.2746422290802","2.328317880630493","2.328317880630493","2.328317880630493"
"27000","2.314143419265747","2.314143419265747","2.314143419265747","2.322037696838379","2.322037696838379","2.322037696838379"
"28500","2.264981269836426","2.264981269836426","2.264981269836426","2.3221917152404785","2.3221917152404785","2.3221917152404785"
"30000","2.2575180530548096","2.2575180530548096","2.2575180530548096","2.3154866695404053","2.3154866695404053","2.3154866695404053"
"31500","2.253621816635132","2.253621816635132","2.253621816635132","2.314749002456665","2.314749002456665","2.314749002456665"
"33000","2.2524335384368896","2.2524335384368896","2.2524335384368896","2.3088157176971436","2.3088157176971436","2.3088157176971436"
"34500","2.242236375808716","2.242236375808716","2.242236375808716","2.299797773361206","2.299797773361206","2.299797773361206"
"36000","2.239060163497925","2.239060163497925","2.239060163497925","2.29964542388916","2.29964542388916","2.29964542388916"
"37500","2.2358102798461914","2.2358102798461914","2.2358102798461914","2.2990214824676514","2.2990214824676514","2.2990214824676514"
"39000","2.23222279548645","2.23222279548645","2.23222279548645","2.290647268295288","2.290647268295288","2.290647268295288"
"40500","2.228048801422119","2.228048801422119","2.228048801422119","2.2883355617523193","2.2883355617523193","2.2883355617523193"
"42000","2.2257351875305176","2.2257351875305176","2.2257351875305176","2.2763915061950684","2.2763915061950684","2.2763915061950684"
"43500","2.221346616744995","2.221346616744995","2.221346616744995","2.280442237854004","2.280442237854004","2.280442237854004"
"45000","2.2185871601104736","2.2185871601104736","2.2185871601104736","2.27011775970459","2.27011775970459","2.27011775970459"
"46500","2.2142789363861084","2.2142789363861084","2.2142789363861084","2.2995026111602783","2.2995026111602783","2.2995026111602783"
"48000","2.2112674713134766","2.2112674713134766","2.2112674713134766","2.276627540588379","2.276627540588379","2.276627540588379"
"49500","2.210200309753418","2.210200309753418","2.210200309753418","2.2722008228302","2.2722008228302","2.2722008228302"
"51000","2.2054052352905273","2.2054052352905273","2.2054052352905273","2.2718281745910645","2.2718281745910645","2.2718281745910645"
"52500","2.2046327590942383","2.2046327590942383","2.2046327590942383","2.2552788257598877","2.2552788257598877","2.2552788257598877"
"54000","2.2022359371185303","2.2022359371185303","2.2022359371185303","2.264026403427124","2.264026403427124","2.264026403427124"
"55500","2.200969696044922","2.200969696044922","2.200969696044922","2.2514500617980957","2.2514500617980957","2.2514500617980957"
"57000","2.196769952774048","2.196769952774048","2.196769952774048","2.2549519538879395","2.2549519538879395","2.2549519538879395"
"58500","2.195859670639038","2.195859670639038","2.195859670639038","2.262702226638794","2.262702226638794","2.262702226638794"
"61500","2.191202402114868","2.191202402114868","2.191202402114868","2.2471609115600586","2.2471609115600586","2.2471609115600586"
"63000","2.1912877559661865","2.1912877559661865","2.1912877559661865","2.24465012550354","2.24465012550354","2.24465012550354"
"64500","2.188612699508667","2.188612699508667","2.188612699508667","2.245450258255005","2.245450258255005","2.245450258255005"
"66000","2.1859090328216553","2.1859090328216553","2.1859090328216553","2.247187852859497","2.247187852859497","2.247187852859497"
"67500","2.185598850250244","2.185598850250244","2.185598850250244","2.2376575469970703","2.2376575469970703","2.2376575469970703"
"69000","2.183671474456787","2.183671474456787","2.183671474456787","2.236643075942993","2.236643075942993","2.236643075942993"
"70500","2.1826679706573486","2.1826679706573486","2.1826679706573486","2.2341628074645996","2.2341628074645996","2.2341628074645996"
"72000","2.182009220123291","2.182009220123291","2.182009220123291","2.2309181690216064","2.2309181690216064","2.2309181690216064"
"73500","2.178765296936035","2.178765296936035","2.178765296936035","2.236619234085083","2.236619234085083","2.236619234085083"
"75000","2.182033061981201","2.182033061981201","2.182033061981201","2.23140811920166","2.23140811920166","2.23140811920166"
"76500","2.182816505432129","2.182816505432129","2.182816505432129","2.23345947265625","2.23345947265625","2.23345947265625"
"78000","2.180051326751709","2.180051326751709","2.180051326751709","2.2305564880371094","2.2305564880371094","2.2305564880371094"
"79500","2.1775574684143066","2.1775574684143066","2.1775574684143066","2.2312986850738525","2.2312986850738525","2.2312986850738525"
"81000","2.1742613315582275","2.1742613315582275","2.1742613315582275","2.2300915718078613","2.2300915718078613","2.2300915718078613"
"82500","2.1723268032073975","2.1723268032073975","2.1723268032073975","2.2253921031951904","2.2253921031951904","2.2253921031951904"
"84000","2.1707167625427246","2.1707167625427246","2.1707167625427246","2.22418212890625","2.22418212890625","2.22418212890625"
"85500","2.1681344509124756","2.1681344509124756","2.1681344509124756","2.2181050777435303","2.2181050777435303","2.2181050777435303"
"87000","2.1677234172821045","2.1677234172821045","2.1677234172821045","2.2444093227386475","2.2444093227386475","2.2444093227386475"
"88500","2.1660118103027344","2.1660118103027344","2.1660118103027344","2.2242236137390137","2.2242236137390137","2.2242236137390137"
"90000","2.165595054626465","2.165595054626465","2.165595054626465","2.2263545989990234","2.2263545989990234","2.2263545989990234"
"91500","2.1623213291168213","2.1623213291168213","2.1623213291168213","2.210169792175293","2.210169792175293","2.210169792175293"
"93000","2.1622958183288574","2.1622958183288574","2.1622958183288574","2.215893268585205","2.215893268585205","2.215893268585205"
"94500","2.159888505935669","2.159888505935669","2.159888505935669","2.235584259033203","2.235584259033203","2.235584259033203"
"96000","2.158010959625244","2.158010959625244","2.158010959625244","2.21581768989563","2.21581768989563","2.21581768989563"
"97500","2.161292552947998","2.161292552947998","2.161292552947998","2.209186315536499","2.209186315536499","2.209186315536499"
"99000","2.1600167751312256","2.1600167751312256","2.1600167751312256","2.2140164375305176","2.2140164375305176","2.2140164375305176"
"100500","2.1573801040649414","2.1573801040649414","2.1573801040649414","2.2110564708709717","2.2110564708709717","2.2110564708709717"
"102000","2.160416603088379","2.160416603088379","2.160416603088379","2.2185111045837402","2.2185111045837402","2.2185111045837402"
"103500","2.1577885150909424","2.1577885150909424","2.1577885150909424","2.219087600708008","2.219087600708008","2.219087600708008"
"105000","2.158952236175537","2.158952236175537","2.158952236175537","2.2152974605560303","2.2152974605560303","2.2152974605560303"
"106500","2.157907009124756","2.157907009124756","2.157907009124756","2.2107725143432617","2.2107725143432617","2.2107725143432617"
"108000","2.1581015586853027","2.1581015586853027","2.1581015586853027","2.206058979034424","2.206058979034424","2.206058979034424"
"109500","2.155409097671509","2.155409097671509","2.155409097671509","2.207573652267456","2.207573652267456","2.207573652267456"
"111000","2.151186466217041","2.151186466217041","2.151186466217041","2.2065017223358154","2.2065017223358154","2.2065017223358154"
"112500","2.1495983600616455","2.1495983600616455","2.1495983600616455","2.202977418899536","2.202977418899536","2.202977418899536"
"114000","2.1489782333374023","2.1489782333374023","2.1489782333374023","2.2069220542907715","2.2069220542907715","2.2069220542907715"
"115500","2.1473379135131836","2.1473379135131836","2.1473379135131836","2.2006402015686035","2.2006402015686035","2.2006402015686035"
"117000","2.1455678939819336","2.1455678939819336","2.1455678939819336","2.2130942344665527","2.2130942344665527","2.2130942344665527"
"118500","2.1459720134735107","2.1459720134735107","2.1459720134735107","2.1966307163238525","2.1966307163238525","2.1966307163238525"
"120000","2.143278121948242","2.143278121948242","2.143278121948242","2.207670211791992","2.207670211791992","2.207670211791992"
"121500","2.139694929122925","2.139694929122925","2.139694929122925","2.195787191390991","2.195787191390991","2.195787191390991"
"123000","2.1384992599487305","2.1384992599487305","2.1384992599487305","2.194828987121582","2.194828987121582","2.194828987121582"
"124500","2.135885000228882","2.135885000228882","2.135885000228882","2.199568271636963","2.199568271636963","2.199568271636963"
"126000","2.1355624198913574","2.1355624198913574","2.1355624198913574","2.194995880126953","2.194995880126953","2.194995880126953"
"127500","2.135777711868286","2.135777711868286","2.135777711868286","2.1997718811035156","2.1997718811035156","2.1997718811035156"
"129000","2.1330878734588623","2.1330878734588623","2.1330878734588623","2.1900837421417236","2.1900837421417236","2.1900837421417236"
"130500","2.1318423748016357","2.1318423748016357","2.1318423748016357","2.189354658126831","2.189354658126831","2.189354658126831"
